Paleomag Scale
paleomag_scale_name	chron_name	chron_alias	chron_polarity_dir	chron_age_min_ma	chron_age_max_ma	chron_id	parent_chron_id
Grad04	C18r		R	39.464	40.439	185	181
Grad04	C19			40.439	41.590	186	186
Grad04	C19n		N	40.439	40.671	187	186
Grad04	C19r		R	40.671	41.590	188	186
Grad04	C20			41.590	45.346	189	189
Grad04	C20n		N	41.590	42.774	190	189
Grad04	C20r		R	42.774	45.346	191	189
Grad04	C21			45.346	48.599	192	192
Grad04	C21n		N	45.346	47.235	193	192
Grad04	C21r		R	47.235	48.599	194	192
Grad04	C22			48.599	50.730	195	195
Grad04	C22n		N	48.599	49.427	196	195
Grad04	C22r		R	49.427	50.730	197	195
Grad04	C23			50.730	52.648	198	198
Grad04	C23n.1n		N	50.730	50.932	199	198
Grad04	C23n.1r		R	50.932	51.057	200	198
Grad04	C23n.2n		N	51.057	51.901	201	198
Grad04	C23r		R	51.901	52.648	202	198
Grad04	C24			52.648	56.665	203	203
Grad04	C24n.1n		N	52.648	53.004	204	203
Grad04	C24n.1r		R	53.004	53.116	205	203
Grad04	C24n.2n		N	53.116	53.167	206	203
Grad04	C24n.2r		R	53.167	53.286	207	203
Grad04	C24n.3n		N	53.286	53.808	208	203
Grad04	C24r		R	53.808	56.665	209	203
Grad04	C25			56.665	58.379	210	210
Grad04	C25n		N	56.665	57.180	211	210
Grad04	C25r		R	57.180	58.379	212	210
Grad04	C26			58.379	61.650	213	213
Grad04	C26n		N	58.379	58.737	214	213
Grad04	C26r		R	58.737	61.650	215	213
Grad04	C27			61.650	63.104	216	216
Grad04	C27n		N	61.650	61.983	217	216
Grad04	C27r		R	61.983	63.104	218	216
Grad04	C28			63.104	64.432	219	219
Grad04	C28n		N	63.104	64.128	220	219
Grad04	C28r		R	64.128	64.432	221	219
Grad04	C29			64.432	65.861	222	222
Grad04	C29n		N	64.432	65.118	223	222
Grad04	C29r		R	65.118	65.861	224	222
Grad04	C30			65.861	67.809	225	225
Grad04	C30n		N	65.861	67.696	226	225
Grad04	C30r		R	67.696	67.809	227	225
Grad04	C31			67.809	70.961	228	228
Grad04	C31n		N	67.809	68.732	229	228
Grad04	C31r		R	68.732	70.961	230	228
Grad04	C32			70.961	73.577	231	231
Grad04	C32n.1n		N	70.961	71.225	232	231
Grad04	C32n.1r		R	71.225	71.474	233	231
Grad04	C32n.2n		N	71.474	72.929	234	231
Grad04	C32r.1r		R	72.929	73.231	235	231
Grad04	C32r.1n		N	73.231	73.318	236	231
Grad04	C32r.2r		R	73.318	73.577	237	231
Grad04	C33			73.577	84.000	238	238
Grad04	C33n		N	73.577	79.543	239	238
Grad04	C33r		R	79.543	84.000	240	238
Grad04	C34			84.000	-99.999	241	241
Grad04	C34n		N	84.000	-99.999	242	241
Grad12	C1			0.000	1.778	481	481
Grad12	C1n	(Brunhes)	N	0.000	0.781	482	481
Grad12	C1r.1r	(Matuyama)	R	0.781	0.988	483	481
Grad12	C1r.1n	(Jaramillo)	N	0.988	1.072	484	481
Grad12	C1r.2r		R	1.072	1.173	485	481
Grad12	C1r.2n	(Cobb Mountain)	N	1.173	1.185	486	481
Grad12	C1r.3r		R	1.185	1.778	487	481
Grad12	C2			1.778	2.581	488	488
Grad12	C2n	(Olduvai)	N	1.778	1.945	489	488
Grad12	C2r.1r		R	1.945	2.128	490	488
Grad12	C2r.1n	(Reunion)	N	2.128	2.148	491	488
Grad12	C2r.2r	(Matuyama continued)	R	2.148	2.581	492	488
Grad12	C2A			2.581	4.187	493	493
Grad12	C2An.1n	(Gauss)	N	2.581	3.032	494	493
Grad12	C2An.1r	(Keana)	R	3.032	3.116	495	493
Grad12	C2An.2n		N	3.116	3.207	496	493
Grad12	C2An.2r	(Mammoth)	R	3.207	3.330	497	493
Grad12	C2An.3n	(Gauss continued)	N	3.330	3.596	498	493
Grad12	C2Ar	(Gilbert)	R	3.596	4.187	499	493
Grad12	C3			4.187	6.033	500	500
Grad12	C3n.1n	(Cochiti)	N	4.187	4.300	501	500
Grad12	C3n.1r		R	4.300	4.493	502	500
Grad12	C3n.2n	(Nunivak)	N	4.493	4.631	503	500
